DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2011,25137612,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2012,25965977,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2013,25749724,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2014,26378676,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2015,26754007,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2016,27181511,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2017,28327279,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2018,31138417,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2019,35644188,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2020,9168431,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2021,11105564,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,AT,2022,26381180,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BA,2021,987659,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2011,25102695,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2012,25919515,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2013,26389927,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2014,28776258,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2015,30958841,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2016,30115832,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2017,33260493,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2018,34506309,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2019,35385188,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2020,9465828,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2021,13500020,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BE,2022,27873892,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2011,6652007,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2012,6819103,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2013,7079292,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2014,7520697,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2015,7610949,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2016,9324217,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2017,11092651,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2018,12137714,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2019,11713068,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2020,3729017,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2021,5047877,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,BG,2022,8807502,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2011,41439848,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2012,43236086,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2013,44217568,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2014,46127426,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2015,48026375,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2016,50505492,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2017,53564943,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2018,56139549,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2019,57194328,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2020,16006811,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2021,19109708,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CH,2022,42424182,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2011,7190387,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2012,7328300,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2013,7011437,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2014,7328546,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2015,7590787,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2016,8961817,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2017,10238913,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2018,10927101,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2019,11261410,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2020,2270577,
ESTAT:TTR00012(1.0),27/10/23 23:00:00,A,PAS,PAS_CRD,TOTAL,TOT,CY,2021,5099704,
